,Land,Water,Legs,2Legs,4Legs,6Limbs,8MoreLimbs,Herbivore,Carnivore,Fly,Mammal,Exoskeleton,Nocturnal,Eggs,Domesticated,Rodent,Hairy,Work,Equine,Hooves,Vertebrate,Shear,Europe,Asia,Africa,Australia,Americas,NorthAmerica,SouthAmerica,Baleen,2wings,Grazer,Tusks,Brain,Pet,Primate,Bovine,Tree,Blowhole,Hump,EatInsect,Feline,Eusocial,Spotted,Striped,Arctic,Pacific,Atlantic,Freshwater,Social,Horns,Canine,Tunneling,Smell,Spiny,Bird,Elytra,FastestLand,Jump,Proboscis
beaver,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,?,N,N,N,Y,N,?,N,N,N,Y,Y,Y,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,?,?,?,?,N,N,?,N,N,N,?,N,?,N
bison,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,?,Y,N,N,N,Y,Y,Y,N,N,?,N,Y,N,N,Y,?,N,N,?,N,N,N,N,N,?,?,?,?,Y,N,N,N,N,N,?,N,?,N
butterfly,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,?,?,?,?,N,N,N,N,N,N,?,N,?,Y
water buffalo,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,?,Y,N,Y,Y,?,Y,Y,Y,N,N,N,N,N,N,?,N,Y,N,N,Y,?,N,N,?,N,N,N,N,N,?,?,?,?,Y,N,N,N,N,N,?,N,?,N
chinchilla,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,?,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,?,N,Y,?,N,N,?,N,N,?,N,N,N,N,N,?,?,?,?,N,N,N,N,N,N,?,N,?,N
cicada,Y,N,Y,N,N,Y,N,Y,N,Y,N,?,?,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,?,?,?,?,N,N,N,N,N,N,?,N,?,N
clam,N,Y,N,N,N,N,N,?,?,N,N,Y,?,Y,N,N,N,N,N,N,N,N,?,?,?,?,?,?,?,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,?,N
coyote,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,?,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,N,N,?,?,N,Y,N,N,N,N,?,N,?,N
crow,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,?,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,N,N,N,?,?,N,N,N,N,N,Y,?,N,?,N
eel,N,Y,N,N,N,N,N,N,Y,N,N,N,?,Y,N,N,?,N,N,N,Y,N,?,?,?,?,?,?,?,N,N,?,N,Y,N,N,N,?,N,N,?,N,N,N,N,?,?,?,?,?,N,N,?,N,N,N,?,N,?,N
